Time,Marcador 1/0/X,Marcador 1/0/Y,Marcador 2/0/X,Marcador 2/0/Y,Marcador 3/0/X,Marcador 3/0/Y,Marcador 4/0/X,Marcador 4/0/Y
"3,836","0,0638217","0,1994334","-0,005170463","-0,009995937","0,248539","-0,04919985","-0,04950128","-0,3735086"
"3,869","0,06271343","0,1986889","-0,002953922","-0,01221249","0,2485559","-0,06286281","-0,05282609","-0,3901327"
"3,903","0,06271347","0,1986889","-0,0007373813","-0,01442903","0,2467369","-0,07429254","-0,05504263","-0,4067567"
"3,936","0,06345791","0,1990696","0,00258743","-0,01775384","0,2486065","-0,09055275","-0,05725917","-0,4222725"
"3,969","0,06383861","0,1983251","0,005912241","-0,02107865","0,2471345","-0,1060686","-0,05836744","-0,4388965"
"4,003","0,06383861","0,1964724","0,008128782","-0,02551174","0,2441735","-0,1189871","-0,06058398","-0,4555206"
"4,036","0,06124137","0,1949834","0,01034532","-0,02883655","0,2427014","-0,1333777","-0,06280052","-0,4721447"
"4,07","0,06198586","0,1946197","0,01367013","-0,03216136","0,2419738","-0,1463132","-0,06501706","-0,4865522"
"4,103","0,06236652","0,1938752","0,01588667","-0,03548616","0,238649","-0,1596124","-0,0672336","-0,5009597"
"4,136","0,06236652","0,1931307","0,02031975","-0,03770271","0,2353242","-0,1718034","-0,06834187","-0,5142589"
"4,17","0,06274718","0,1927669","0,0225363","-0,04213578","0,2331077","-0,1839944","-0,07166668","-0,5286664"
"4,203","0,06163891","0,1927669","0,02696938","-0,04546058","0,2308911","-0,1961854","-0,07388322","-0,5408574"
"4,236","0,06461681","0,1909141","0,03140246","-0,04767713","0,2297828","-0,2072681","-0,07609976","-0,5530484"
"4,27","0,06089446","0,1916586","0,03583554","-0,05100194","0,2275663","-0,2161342","-0,07720803","-0,5652394"
"4,303","0,06276406","0,1916587","0,04137689","-0,05321848","0,226458","-0,2250004","-0,07942457","-0,5752138"
"4,336","0,06350854","0,1912948","0,04580997","-0,05543503","0,2253498","-0,2338665","-0,08053285","-0,5851883"
"4,37","0,06314476","0,1912948","0,05024305","-0,05765158","0,2231332","-0,2405162","-0,08274939","-0,5951627"
"4,403","0,06388921","0,1901866","0,05356786","-0,0598681","0,222025","-0,2482741","-0,08385766","-0,6051371"
"4,436","0,06314476","0,1901866","0,0557844","-0,06208465","0,2198084","-0,2538154","-0,08496593","-0,6151115"
"4,47","0,06054752","0,1872087","0,05800095","-0,06319293","0,2175919","-0,2593568","-0,0860742","-0,6228694"
"4,503","0,061292","0,1894421","0,06243403","-0,06430119","0,2153753","-0,2648981","-0,08718247","-0,6306273"
"4,537","0,06241715","0,1868449","0,06686711","-0,06540945","0,2142671","-0,2693312","-0,08829074","-0,6372769"
"4,57","0,06241715","0,1890783","0,07019192","-0,06651774","0,2120505","-0,272656","-0,09050728","-0,6450348"
"4,603","0,06130888","0,1883338","0,07351673","-0,067626","0,2087257","-0,2770891","-0,09161555","-0,6516845"
"4,637","0,06205336","0,1902034","0,07684154","-0,06873426","0,2065092","-0,2804139","-0,09272382","-0,6583341"
"4,67","0,06168954","0,1909479","0,07794981","-0,06873426","0,2042926","-0,2837387","-0,09383209","-0,6649837"
"4,703","0,06168954","0,1909479","0,07905808","-0,06873426","0,2009678","-0,2859553","-0,09494036","-0,6705251"
"4,737","0,06207021","0,1872256","0,08016635","-0,07095081","0,1987513","-0,2892801","-0,09494036","-0,6760664"
"4,77","0,06355917","0,1861172","0,0823829","-0,07095081","0,1965347","-0,2914966","-0,09604863","-0,6804995"
"4,803","0,06319539","0,1864811","0,0857077","-0,07095081","0,1943182","-0,2914966","-0,0971569","-0,6838243"
"4,837","0,0624509","0,1868618","0,08681598","-0,07205909","0,1932099","-0,2926049","-0,09604863","-0,6860408"
"4,87","0,06134263","0,1861173","0,08792424","-0,07316735","0,1943182","-0,2914966","-0,0971569","-0,6860408"
